Word Context_Valence Context_Arousal Context_Concreteness
crafty 5.473 4.16 2.869
crag 5.528 4.017 3.474
cragged 5.763 4.137 3.452
craggy 5.754 4.021 3.331
crags 5.657 4.004 3.239
craig 5.502 4.172 3.224
crake 5.78 3.97 3.301
crakes 5.663 3.846 3.166
cram 5.613 4.051 3.023
crambo 5.882 4.466 3.863
crammed 5.593 3.964 3.302
crammer 4.938 4.166 2.132
crammers 5.61 4.158 3.021
cramming 5.466 4.262 3.331
cramp 5.495 4.079 3.21
cramped 5.532 3.987 3.264
cramping 5.085 4.217 3.173
crampon 5.64 3.999 3.374
crampons 5.607 3.951 3.212
cramps 4.892 4.18 3.559
crams 5.569 4.006 3.272
cranberries 6.114 4.006 3.629
cranberry 6.005 4.002 3.862
crane 5.427 4.247 3.421
craned 5.683 3.858 3.548
cranelike 5.062 4.145 3.098
cranes 5.624 3.965 3.369
crania 5.53 3.913 3.049
cranial 5.268 4.069 3.181
craning 5.696 3.864 3.422
craniofacial 5.463 4.043 3.218
craniotomy 5.146 4.145 3.188
cranium 5.501 4.043 3.234
craniums 5.341 3.944 2.927
crank 5.519 4.016 3.093
crankcase 5.332 3.922 3.404
cranked 5.612 4.047 3.173
crankier 5.566 3.932 2.734
crankiest 5.692 4.109 2.946
crankily 5.221 4.082 3.157
crankiness 5.499 4.048 2.718
cranking 5.557 4.074 3.153
cranks 5.532 4.032 2.863
crankshaft 5.393 3.925 3.355
crankshafts 5.434 3.895 3.254
cranky 5.542 4.084 2.915
crannies 5.757 3.817 3.102
cranny 5.679 3.933 3.135
crap 5.365 4.092 3.01
crape 5.778 3.911 3.309
crapes 5.511 3.81 3.162
crapped 5.529 4.094 3.179
crapper 5.301 4.447 2.692
crappier 5.642 4.013 2.951
crappiest 5.674 4 3.014
crapping 5.549 4.134 3.059
crappy 5.643 4.039 2.972
craps 5.516 4.321 3.355
crapshoot 5.741 4.063 2.813
crapshooter 5.299 4.147 3.139
crapshooters 5.337 4.105 2.898
crapulous 5.284 4.132 2.847
crash 5.298 4.176 3.254
crashed 5.503 4.18 3.355
crasher 5.805 4.223 3.297
crashers 5.961 4.372 3.414
crashes 5.392 4.152 3.241
crashing 5.526 4.108 3.141
crashworthiness 5.521 4.032 3.071
crass 5.346 4.178 2.759
crassly 4.908 4.072 2.207
crassness 5.334 4.16 2.697
crate 5.606 4.128 3.294
crated 5.841 3.81 3.615
crateful 5.975 4.14 3.237
crater 5.535 4.064 3.371
cratered 5.348 4.117 3.417
craterless 5.926 3.999 3.367
craters 5.555 4.048 3.264
crates 5.617 3.927 3.178
crating 5.164 4.313 3.156
cravat 5.75 3.993 3.382
cravats 5.802 4.033 3.335
crave 5.769 4.285 2.831
craved 5.707 4.303 2.939
craven 5.013 4.299 2.886
cravens 5.542 4.178 3.265
craver 5.34 4.263 3.254
craves 5.684 4.245 2.864
craving 5.638 4.277 2.875
cravingly 5.739 4.148 3.616
cravings 5.588 4.279 2.957
craw 5.483 4.006 3.083
crawdad 5.836 4.057 3.301
crawdads 5.916 3.908 3.381
crawfish 5.889 4.034 3.649
crawl 5.483 3.983 3.204
crawled 5.524 4.016 3.422
crawler 5.6 4.048 3.423
crawlers 5.562 4.03 3.229
crawling 5.437 4.033 3.295
crawls 5.448 4.066 3.155
crawlspace 5.554 3.83 3.454
crawlspaces 5.368 3.832 3.352
crawly 5.33 4.261 3.138
crayfish 5.776 3.976 3.499
crayon 5.733 3.932 3.263
crayoned 5.54 4.063 3.567
crayons 5.729 3.935 3.313
craze 5.645 4.184 3.105
crazed 4.872 4.451 3.167
crazes 5.403 4.242 3.067
crazier 5.579 4.174 2.852
crazies 5.5 4.194 2.923
craziest 5.707 4.128 3
crazily 5.538 4.206 3.096
craziness 5.543 4.099 2.794
crazing 5.544 3.881 3.201
crazy 4.971 4.451 2.813
creak 5.624 3.953 3.354
creaked 5.52 3.908 3.538
creakily 5.477 3.93 3.106
creakiness 5.467 4.252 2.718
creaking 5.459 4.019 3.281
creakingly 5.274 4.037 2.581
creaks 5.497 3.999 3.337
creaky 5.471 4.028 3.108
cream 5.95 3.981 3.846
creamed 5.809 4.076 3.547
creamer 5.76 4.049 3.441
creamers 5.902 4.197 3.698
creamery 5.426 3.609 3.916
creamier 5.972 4.014 3.346
creamiest 5.819 4.245 3.374
creamily 5.168 4.485 2.767
creaminess 5.995 3.896 3.286
creaming 5.689 4.325 3.346
creams 5.582 4.015 3.234
creamy 5.958 4.079 3.72
crease 5.553 4.016 3.323
creased 5.574 3.936 3.42
creaseless 5.634 3.713 3.377
creases 5.51 3.88 3.325
creasing 5.485 3.976 3.289
creatable 5.552 4.25 3.468
create 5.622 4.124 2.929
created 5.662 4.142 2.938
creates 5.554 4.183 2.909
creating 5.667 4.096 2.897
creation 5.76 4.135 2.832
creational 5.879 4.078 2.712
creationism 5.636 4.15 2.669
creationist 5.539 4.07 2.732
creationistic 5.634 4.039 2.704
creationists 5.559 4.105 2.651
creations 5.794 4.17 2.836
creative 5.856 4.131 2.77
creatively 5.814 4.189 2.706
creativeness 5.684 4.272 2.393
creativity 5.765 4.853 2.74
creator 5.906 4.211 2.769
creators 5.774 4.08 2.881
creatorship 4.966 4.696 1.835
creature 5.604 4.257 3.05
creatures 5.622 4.255 2.903
creche 5.656 4.004 3.163
credence 5.716 4.083 2.736
credential 5.707 3.995 2.923
credentialed 5.752 4.087 2.931
credentialing 5.405 3.858 2.878
credentials 5.856 3.997 2.68
credenza 5.721 3.697 3.858
credibility 5.389 4.114 2.783
credible 5.543 4.051 2.802
credibleness 6.333 3.969 2.513
credibly 5.366 4.133 2.777
credit 5.545 4.033 3.068
creditability 5.454 4.095 2.758
creditable 5.658 4.008 2.806
creditably 5.72 3.956 2.841
creditcard 5.747 4.218 3.327
credited 5.7 4.159 3.082
crediting 5.183 4.117 3.259
creditor 5.45 4.1 2.971
creditors 5.44 4.148 2.904
credits 5.65 4.088 3.072
creditworthy 5.515 3.966 2.793
credo 5.657 4.122 2.79
credos 5.691 4.049 2.808
credulity 5.429 4.148 2.68
credulous 5.499 4.104 2.693
credulously 5.495 3.954 2.79
credulousness 5.515 4.071 2.597
creed 5.491 4.091 2.775
creedal 5.596 3.956 2.57
creeds 5.758 3.992 2.719
creek 5.712 3.953 3.633
creeks 5.735 3.9 3.381
creel 5.595 4.041 3.224
creels 5.717 3.665 3.47
creep 5.55 3.984 3.105
creeper 5.668 4.111 3.428
creepers 5.665 4.121 3.426
creepier 5.668 4.105 2.914
creepiest 5.637 4.043 3.051
creepiness 5.666 4.156 2.821
creeping 5.516 4.007 3.208
creeps 5.526 3.986 3.18
creepy 5.493 4.19 2.952
cremate 5.413 4.073 3.155
cremated 5.425 3.967 3.139
cremates 5.475 4.189 3.257
cremating 5.274 4.09 3.211
cremation 5.373 4.006 3.106
cremationist 5.523 3.584 3.128
cremator 5.624 4.105 3.15
crematoria 5.275 4.083 3.139
crematorium 5.345 4.018 3.263
crematory 5.262 3.915 3.276
creole 5.991 4.016 3.295
creoles 5.756 3.978 2.838
creosote 5.468 3.931 3.36
creosotes 5.6 3.89 3.168
crepe 5.931 3.884 3.641
crepes 6.093 3.874 3.591
crept 5.508 4.011 3.111
crepuscular 5.922 4.028 3.169
crepuscule 6.217 4.352 3.164
crescendo 5.525 4.189 3.056
crescendos 5.758 4.147 3.007
crescent 5.768 4.057 3.456
crescents 5.829 3.9 3.446
cress 5.737 3.919 3.531
crest 5.73 3.983 3.439
crested 5.841 4.115 3.597
crestfallen 5.641 4.038 3.069
cresting 5.69 4.08 3.298
crestless 5.407 4.286 3.74
crests 5.678 4 3.388
cretaceous 5.587 4.043 2.994
cretin 5.323 4.164 2.844
cretins 5.423 4.177 2.789
cretonne 5.779 3.47 3.372
crevasse 5.686 4.136 3.358
crevasses 5.553 3.941 3.367
crevice 5.469 4.117 3.414
creviced 5.61 3.904 3.429
crevices 5.476 3.952 3.309
crew 5.311 4.057 3.245
crewed 5.704 4.131 3.16
crewing 5.691 3.994 3.089
crewless 5.825 4.235 2.961
crewman 5.519 4.051 3.234
crewmate 5.828 4.003 3.156
crewmember 5.537 4.023 3.229
crewmen 5.319 4.178 3.202
crews 5.512 4.094 3.195
crib 5.702 3.959 3.456
cribbage 6.024 4.126 3.577
cribbed 5.659 3.919 2.958
cribbing 5.6 3.872 2.984
cribs 6.05 4.197 3.804
crick 5.756 4.078 2.928
cricked 5.667 3.951 3.69
cricket 5.759 4.022 3.22
cricketer 5.728 4.116 2.906
crickets 5.697 4.01 3.254
cricks 5.728 3.865 2.977
cried 5.578 4.274 3.181
crier 5.583 4.056 3.276
criers 5.599 4.057 3.13
cries 5.494 4.135 2.663
crikey 5.684 4.155 2.965
crime 4.787 4.479 2.955
crimed 5.041 4.301 2.904
crimeless 5.242 4.205 2.567
crimelessness 5.759 4.102 2.723
crimes 4.827 4.498 2.948
criminal 4.816 4.479 2.924
criminalist 5.286 4.144 3.099
criminality 4.907 4.31 2.713
criminalize 5.282 4.318 2.761
criminalizes 5.045 4.256 2.815
criminally 5.003 4.465 2.556
criminals 4.511 4.767 2.93
criminological 5.366 4.214 2.703
criminologist 5.563 4.125 3.116
criminologists 5.318 4.147 2.856
criminology 5.463 4.094 3.127
crimp 5.436 3.994 3.182
crimped 5.409 3.955 3.309
crimper 5.571 3.936 3.21
crimping 5.413 3.992 3.242
crimplene 5.57 3.863 3.047
crimps 5.403 3.986 3.111
crimson 5.742 4.144 3.562
cringe 5.66 4.024 2.9
cringed 5.623 4.093 3.217
cringes 5.617 4.097 3.18
cringing 5.537 4.216 2.919
cringingly 5.342 4.173 2.856
cringle 5.871 3.834 3.624
crinkle 5.686 4.011 3.577
crinkled 5.606 3.977 3.518
crinkles 5.806 4.065 3.579
crinkling 5.78 3.778 3.582
crinkly 5.683 3.94 3.46
crinoid 5.704 3.938 3.432
crinoids 5.86 3.872 3.188
crinoline 5.912 3.979 3.694
cripes 5.593 4.029 2.967
cripple 5.372 4.29 2.921
crippled 5.358 4.208 3.006
crippler 5.431 4.255 3.23
cripples 5.15 4.265 2.94
crippling 5.163 4.275 2.885
crises 5.4 4.189 2.813
crisis 5.592 4.345 3.03
crisp 5.899 3.974 3.378
crisped 5.627 3.943 3.564
crisper 5.832 3.903 3.13
crispier 5.947 3.81 3.395
crispiness 5.858 3.883 3.111
crisping 5.58 3.964 2.952
crisply 5.699 3.996 3.124
crispness 5.814 3.942 3.078
crisps 5.96 3.958 3.564
crispy 5.94 3.952 3.606
crisscross 5.596 3.934 3.433
crisscrossed 5.587 3.955 3.42
crisscrosses 5.616 4.066 3.367
crisscrossing 5.661 4.014 3.224
cristo 5.722 3.976 3.286
criteria 5.605 3.956 2.764
criterion 5.649 3.993 2.715
critic 5.571 4.175 2.949
critical 5.586 4.031 2.849
criticality 5.592 4.082 2.786
critically 5.622 4.1 2.897
criticalness 5.463 4.167 2.514
criticism 5.477 4.096 2.808
criticisms 5.524 4.006 2.765
criticize 5.447 4.128 2.787
criticized 5.338 4.1 2.946
criticizer 5.361 4.298 2.66
criticizes 5.289 4.134 2.983
criticizing 5.383 4.091 2.896
critics 5.313 4.133 2.864
critique 5.626 4.031 2.782
critiqued 5.656 3.996 2.851
critiques 5.658 4.014 2.802
critiquing 5.651 3.993 2.82
critter 5.499 4.108 3.063
critters 5.315 4.316 2.912
croak 3.829 4.405 3.637
croaked 5.617 4.074 3.093
croaker 5.643 4.012 3.282
croakers 5.131 4.141 2.815
croaking 5.494 4.049 3.08
croaks 5.525 4.086 3.149
croaky 5.945 3.801 3.869
croc 5.472 4.307 3.395
crochet 6.178 3.756 3.919
crocheted 6.13 3.72 3.938
crocheting 5.936 3.855 3.308
crochets 5.816 3.894 3.295
crock 5.74 4.059 3.901
crocked 5.577 4.041 2.935
crockery 5.613 3.967 3.481
crocks 5.606 4.045 3.776
crocodile 5.482 4.224 3.321
crocodiles 5.641 4.414 3.295
crocus 5.914 3.874 3.461
crocuses 6.043 3.841 3.256
croft 5.716 4.172 3.316
crofter 5.756 3.917 3.11
crofters 5.686 4.059 3.008
crofts 5.9 4.017 3.281
croissant 6.039 4.006 3.639
croissants 6.065 4.004 3.393
cromlech 5.386 3.928 3.239
cromwell 5.535 4.12 3.074
cromwellian 5.309 4.201 2.955
crone 5.633 4.091 3.126
crones 5.396 4.157 2.949
cronies 5.31 4.2 2.987
crony 5.219 4.169 2.946
cronyism 5.031 4.22 2.759
crook 5.298 4.192 3.026
crooked 5.356 4.124 3.121
crookedly 5.622 3.976 3.212
crookedness 5.434 4.289 2.935
crooking 5.619 4.071 3.494
crooks 5.17 4.265 3.084
croon 5.953 4.164 3.122
crooned 5.957 4.216 3.099
crooner 5.906 4.194 3.175
crooners 5.998 4.128 3.133
crooning 5.925 4.14 3.178
croons 5.88 4.182 3.207
crop 5.59 3.99 3.096
cropland 5.78 3.775 3.319
cropped 5.621 3.905 3.169
cropper 5.641 4.124 3.135
croppers 5.717 3.867 3.136
cropping 5.643 3.926 2.977
crops 5.596 3.995 3.134
croquet 5.944 4.026 3.333
croquette 6.123 3.868 3.769
croquettes 6.032 3.872 3.822
crore 5.472 4.094 2.994
crores 5.538 4.098 2.928
crosier 5.978 3.942 3.461
cross 5.64 3.995 3.133
crossable 5.646 3.884 2.95
crossbar 5.536 3.933 3.306
crossbars 5.567 3.824 3.381
crossbeam 5.395 3.923 3.396
crossbeams 5.146 3.883 3.474
crossbones 5.019 4.303 4.024
crossbow 5.364 4.312 3.323
crossbowman 5.258 4.21 3.351
crossbows 5.458 4.155 3.082
crossbred 5.651 4.107 3.141
crossbreds 5.582 3.873 2.845
crossbreed 5.717 4.132 3.183
crossbreeding 5.72 4.04 2.95
crossbreeds 5.813 4.161 2.995
crosscheck 5.673 3.809 2.93
crosschecked 5.588 3.877 2.931
crosscountry 5.809 4.01 3.208
crosscurrent 5.35 4.161 2.754
crosscurrents 5.509 4.118 2.822
crosscut 5.428 3.974 3.43
crosscutting 5.541 3.99 2.997
crosse 5.662 4.025 3.486
crossed 5.611 3.975 3.193
crosser 5.406 4.115 3.244
crosses 5.531 4.008 3.232
crosseyed 5.617 4.083 3.166
crossfire 5.317 4.28 3.161
crosshair 5.595 4.045 3.301
crosshatch 5.575 3.787 3.329
crossing 5.556 3.99 3.247
crossings 5.44 4.026 3.102
crosslet 5.612 3.574 3.695
crossly 5.443 4.093 2.922
crossness 5.474 4.092 3.018
crossover 5.682 4.003 3.033
crossovers 5.68 3.991 2.955
crosspatch 5.487 3.789 2.876
crosspiece 5.448 3.74 3.534
crossply 5.307 3.779 3.178
crossroad 5.554 4.154 3.153
crossroads 5.65 4.078 3.173
crosstalk 5.492 3.908 2.965
crosstie 5.676 3.865 3.46
crosstrees 5.546 3.792 3.737
crosswalk 5.532 3.912 3.381
crosswalks 5.519 3.886 3.192
crossway 5.763 3.923 2.828
crossways 6.283 3.869 2.519
crosswind 5.589 3.98 3.115
crosswinds 5.53 4.085 3.093
crosswise 5.433 3.971 3.65
crossword 6.242 3.997 3.53
crosswords 6.218 3.959 3.228
crotch 5.483 4.296 3.339
crotched 5.574 4.17 3.687
crotches 5.686 4.229 3.423
crotchet 5.731 3.852 3.279
crotchets 5.627 3.9 2.914
crotchety 5.28 4.142 2.962
crouch 5.631 4.053 3.195
crouched 5.515 4.014 3.472
crouches 5.599 4.099 3.344
crouching 5.426 3.943 3.595
croup 5.435 3.962 3.361
croupier 5.791 4.275 3.17
croupiers 5.663 4.184 3.261
croups 5.788 3.966 3.089
croupy 5.266 4.041 3.259
crouton 5.929 4.016 3.493
croutons 5.869 3.799 3.786
crow 5.576 4.094 3.18
crowbait 4.844 4.301 2.996
crowbar 5.453 4.116 3.262
crowbars 5.286 4.189 3.423
crowd 5.614 4.153 3.081
crowded 5.556 4.115 3.291
crowdedly 5.5 3.984 2.863
crowdedness 5.289 3.941 2.987
crowding 5.464 4.071 3.078
crowds 5.598 4.185 3.082
crowdsourcing 5.684 3.986 2.822
crowed 5.473 4.4 3.127
crowfoot 5.726 3.962 3.293
crowing 5.584 4.161 2.962
crown 5.485 4.099 3.129
crowned 5.751 4.173 3.365
crowning 5.508 4.121 2.862
crownless 5.323 4.206 3.235
crowns 5.702 4.08 3.195
crownwork 4.995 3.841 3.282
crows 5.58 4.076 3.255
cruces 5.998 4.226 3.435
crucial 5.569 4.028 2.879
crucially 5.611 4.09 2.792
crucible 5.708 4.022 3.308
crucibles 5.596 3.994 3.293
cruciferous 5.774 3.773 3.307
crucified 5.609 4.205 3.083
crucifier 5.189 4.369 2.948
crucifix 5.437 4.131 3.545
crucifixes 5.483 4.006 3.156
crucifixion 5.4 4.126 2.871
crucifixions 5.307 4.104 2.989
cruciform 5.534 3.968 3.329
crucify 4.992 4.379 3.064
crucifying 5.335 4.246 2.86
crud 5.48 3.926 3.093
cruddy 5.6 4.012 3.016
crude 5.101 4.143 3.324
crudely 5.534 4.035 3.202
crudeness 5.458 4.158 2.681
cruder 5.491 4.049 2.779
crudest 5.41 4.09 2.798
crudity 5.404 4.15 2.739
cruds 5.423 4.071 3.098
cruel 5.206 4.325 2.795
crueler 5.213 4.298 2.81
cruelest 5.367 4.18 2.952
crueller 5.59 4.241 2.845
cruellest 5.455 4.26 3.045
cruelly 5.518 4.047 3.202
cruelness 5.23 4.325 2.695
cruelties 5.144 4.319 2.817
cruelty 5.107 4.3 2.955
cruet 5.664 3.789 3.764
cruets 5.57 4.014 3.826
cruise 5.851 4.161 3.378
cruisecontrol 5.739 3.686 2.705
cruised 5.807 4.026 3.247
cruiser 5.568 4.101 3.362
cruisers 5.559 4.093 3.193
cruises 6.081 4.174 3.362
cruising 5.855 4.061 3.14
cruller 5.808 4.111 3.485
crullers 5.976 3.853 3.61
crumb 5.83 3.968 3.423
crumbed 5.89 3.874 3.633
crumble 5.552 4.031 3.08
crumbled 5.49 3.986 3.359
crumbles 5.463 4.072 3.106
crumbliness 6.6 3.77 2.426
crumbling 5.413 4.082 3.087
crumbly 5.707 3.878 3.476
crumbs 5.78 3.904 3.581
crumby 5.67 4.021 3.156
crummier 5.708 3.978 3.013
crummiest 5.796 3.87 3.136
crummy 5.617 4.043 3.017
crumpet 5.66 4.16 3.399
crumpets 5.942 3.787 3.388
crumple 5.455 3.978 3.267
crumpled 5.204 3.845 3.709
crumples 5.436 4.045 3.564
crumpling 5.446 3.996 3.35
crumply 5.32 4.056 2.946
crunch 5.537 4.102 3.04
crunchable 6.017 4.484 3.121
crunched 5.608 3.912 3.142
cruncher 5.647 3.928 3.083
crunchers 5.696 3.924 2.959
crunches 5.525 4.055 3.221
crunchier 5.887 3.948 3.226
crunchiness 5.872 3.919 3.25
crunching 5.669 3.942 3.068
crunchy 5.81 4.307 3.506
crusade 5.423 4.28 2.961
crusader 5.532 4.225 3.017
crusaders 5.361 4.248 2.902
crusades 5.297 4.293 2.858
crusading 5.382 4.257 2.882
cruse 5.65 4.092 3.307
crush 5.494 4.313 2.969
crushability 5.812 3.736 3.114
crushable 5.522 3.938 3.248
crushed 5.433 4.115 3.281
crusher 5.492 4.229 3.401
crushers 5.46 4.091 3.431
crushes 5.626 4.215 3.077
crushing 5.312 4.25 3.04
crushingly 5.343 4.231 2.827
crust 5.84 3.936 3.464
crustacean 5.696 4.062 3.296
crustaceans 5.775 3.858 3.559
crustaceous 5.358 4.006 3.485
crusted 5.856 3.922 3.979
crustier 5.633 3.814 3.014
crustiness 5.707 3.883 3.149
crusting 5.454 4.085 3.417
crusts 5.803 3.935 3.544
crusty 5.527 4.021 3.351
crutch 5.497 4.092 2.832
crutched 5.519 3.859 3.222
crutches 5.413 3.993 3.29
crux 5.438 4.071 2.787
cry 5.573 4.273 2.987
crybabies 5.337 4.176 2.936
crybaby 5.238 4.195 2.954
crying 5.419 4.339 3.043
cryobiology 5.631 3.909 3.119
cryogenic 5.524 4.023 3.202
cryogenics 5.603 4.08 3.064
cryonic 5.425 3.956 2.992
cryonics 5.616 4.135 2.892
crypt 5.187 4.25 3.503
cryptic 5.681 3.899 2.861
cryptically 5.69 3.98 2.891
crypto 5.498 4.023 2.872
cryptogenic 4.703 4.117 2.962
cryptogram 5.828 3.917 3.027
cryptograms 5.871 4.005 3.053
cryptograph 5.657 3.904 2.925
cryptographer 5.712 4.003 2.952
cryptographers 5.644 4.043 2.777
cryptographic 5.549 3.942 3.002
cryptographist 5.662 4.356 2.109
cryptography 5.682 3.987 2.821
cryptologist 5.642 4.039 3.103
cryptology 5.774 3.956 2.9
cryptonym 5.61 3.838 3.301
crypts 5.5 4.03 3.114
crystal 5.773 3.984 3.298
crystalline 5.635 3.921 3.189
crystallite 5.976 3.87 3.344
crystallization 5.611 3.959 3.034
crystallize 5.678 4.014 2.85
crystallized 5.545 4.052 3.087
crystallizer 5.426 4.272 2.948
crystallizes 5.474 4.069 3.064
crystallizing 5.654 4.019 2.949
crystallographers 5.275 4.116 2.956
crystallography 5.723 4.002 2.953
crystalloid 5.392 4.017 3.408
crystals 5.684 3.986 3.202
cub 5.799 4.015 3.933
cuba 5.45 4.21 3.023
cubage 5.981 3.842 2.942
cuban 5.463 4.206 3.058
cubans 5.619 4.146 2.917
cubbies 5.678 4.025 3.097
cubby 5.736 4.12 3.425
cubbyhole 5.596 3.935 3.27
cubbyholes 5.762 3.863 3.026
cube 5.651 3.9 3.269
cubeb 5.702 3.983 3.77
cubed 5.666 3.854 3.58
cubes 5.614 3.854 3.497
cubic 5.495 3.756 3.272
cubical 5.583 3.813 3.443
cubically 5.523 3.817 2.859
cubicle 5.584 3.921 3.367
cubicles 5.539 3.833 3.387
cubing 5.638 3.994 2.933
cubism 5.923 4.072 2.956
cubist 5.983 3.929 3.218
cubistic 5.724 4.138 2.965
cubists 5.727 4.037 2.978
cubit 5.625 3.729 3.198
cubits 5.639 3.68 3.408
cubs 5.815 4.095 3.306
cuckold 5.801 5.263 3.719
cuckolded 5.714 4.279 3.22
cuckolds 5.586 4.346 3.174
cuckoo 5.896 4.024 3.423
cuckooing 5.685 3.915 3.003
cuckoos 5.7 3.993 3.111
cucumber 5.896 3.907 3.718
cucumbers 5.971 3.833 3.642
cud 5.458 3.841 3.267
cudbear 4.638 3.63 2.797
cuddies 6.022 4.202 3.126
cuddle 6.003 4.112 3.151
cuddled 5.994 4.046 3.334
cuddles 6.014 4.127 3.132
cuddlesome 5.909 4.106 2.891
cuddlier 5.814 4.255 3.267
cuddling 6.003 4.174 3.2
cuddly 5.946 4.144 3.114
cuddy 5.737 4.045 3.182
cudgel 5.35 4.207 2.989
cudgelled 4.993 4.159 3.219
cudgels 5.384 4.232 2.912
cue 5.615 4.137 3.19
cued 5.911 3.931 2.355
cueing 5.732 4.017 3.139
cues 5.697 4.054 2.965
cuff 5.059 4.089 3.364
cuffed 5.347 4.037 3.514
cuffing 5.35 4.161 3.469
cufflink 5.448 4.175 3.529
cufflinks 5.854 4.141 3.974
cuffs 5.373 4.012 3.471
cuing 5.683 4.08 2.991
cuirass 5.567 4.033 3.395
cuisine 6.048 3.97 3.238
cuisines 6.01 3.984 2.999
culinary 5.993 4.11 3.306
cull 5.529 4.043 3
culled 5.59 3.962 3.028
culling 5.481 4.02 2.953
culls 5.533 4.068 3.001
culminate 5.519 4.214 2.949
culminated 5.307 4.297 3.063
culminates 5.547 4.278 3.066
culminating 5.339 4.267 3.033
culmination 5.556 4.17 2.921
culotte 6.004 4.538 3.5
culottes 5.599 4.191 3.378
culpa 5.484 4.037 2.814
culpability 5.211 4.139 2.753
culpable 5.111 4.237 2.829
culpably 5.495 4.271 2.825
culprit 5.392 4.006 3.04
culprits 5.31 4.198 2.915
cult 5.185 4.337 2.885
cultish 5.549 4.098 2.705
cultism 5.413 4.127 2.693
cultist 5.334 4.135 2.835
cultivable 5.82 3.756 3.217
cultivar 5.823 3.844 3.005
cultivatable 5.919 3.837 3.101
cultivate 5.914 4.114 2.853
cultivated 5.697 4.021 2.944
cultivates 5.745 4.141 2.964
cultivating 5.798 4.095 2.881
cultivation 5.501 4.055 3.029
cultivator 5.641 3.918 3.177
cults 5.099 4.296 2.847
cultural 5.621 4.114 2.769
culturally 5.636 4.084 2.69
culture 5.661 4.098 2.834
cultured 5.73 4.047 3.036
cultureless 5.483 4.175 2.883
cultures 5.45 4.08 2.776
culturing 5.501 4.017 2.955
culturist 5.642 4.177 2.766
culvert 5.397 3.969 3.522
culverts 5.465 3.806 3.32
cum 5.69 4.653 3.601
cumber 5.495 4.098 3.219
cumbered 5.365 3.999 2.972
cumbersome 5.538 3.944 2.835
cumbersomely 5.862 4.025 2.893
cumbersomeness 5.519 3.863 2.766
cumbrous 5.422 4.008 2.99
cumin 5.705 3.703 4.108
cummerbund 5.673 3.971 3.566
cummerbunds 5.769 3.859 3.388
cumquat 6.1 3.909 3.646
cumulate 5.684 3.936 2.861
cumulation 5.434 4.012 2.803
cumulative 5.388 3.951 2.881
cumulatively 5.531 4.091 2.845
cumulonimbus 5.669 3.966 3.288
cumulus 5.774 3.772 3.262
cuneiform 5.806 3.834 3.007
cunnilingus 5.956 4.875 3.343
cunning 5.443 4.22 2.817
cunningly 5.435 4.079 2.897
cunningness 5.199 4.329 2.62
cunt 4.846 4.989 3.573
cunts 5.266 4.619 3.331
cup 5.754 3.868 3.514
cupbearer 5.711 3.963 3.097
cupboard 5.647 3.943 3.294
cupboards 5.588 3.919 3.177
cupcake 5.9 4.135 3.303
cupcakes 6.065 4.151 3.421
cupful 5.691 3.874 3.558
cupfuls 5.805 3.878 3.632
cupid 5.795 4.197 3.337
cupidity 5.366 4.304 3.008
cupids 5.943 4.119 3.449
cuppa 6.005 3.943 3.166
cuppas 6.16 3.935 3.101
cupped 5.736 4.101 3.599
cupping 5.672 4.105 3.419
cupric 5.386 3.737 3.602
cups 5.57 3.988 3.22
cur 5.386 4.484 3.227
curability 5.037 4.277 3.034
curable 4.922 4.279 2.817
curare 5.269 4.322 3.343
curate 5.8 3.945 3.024
curates 5.687 3.861 3.032
curative 5.549 4.051 2.856
curator 5.892 3.96 3.372
curators 5.815 4.017 3.047
curatorship 5.731 3.929 3.186
curb 5.344 4.176 3.092
curbed 5.296 4.233 2.866
curbing 5.351 4.261 2.964
curbs 5.378 4.142 3.116
curbside 5.604 3.915 3.33
curbstone 5.391 3.945 3.429
curbstones 5.344 3.83 3.306
curculio 5.354 4.292 4.003
curd 5.761 3.787 3.663
curdle 5.63 3.965 3.304
curdled 5.452 4.079 3.322
curdles 5.74 4.1 3.249
curdling 5.023 4.488 3.406
curds 5.828 3.878 3.634
cure 4.84 4.28 3
cured 5.3 4.158 2.936
cureless 4.891 4.535 2.91
curer 5.653 4.261 3.147
cures 5.395 4.157 3.005
curette 5.245 4.164 3.423
curfew 5.371 4.138 3.251
curfews 5.183 4.261 2.985
curia 5.446 3.956 3.023
curie 5.797 4.231 3.224
curing 5.382 4.19 3.041
curio 5.651 4.018 3.289
curios 5.701 4.003 3.174
curiosities 5.749 4.024 2.868
curiosity 5.792 4.081 2.777
curious 5.73 4.004 2.841
curiously 5.58 4.012 2.912
curiousness 5.788 4.18 2.843
curium 5.526 4.063 3.172
curl 5.521 3.99 3.094
curled 5.661 3.943 3.473
curler 5.781 4.021 3.392
curlers 5.853 3.968 3.5
curlew 5.569 4.105 3.413
curlews 5.601 3.916 3.358
curlicue 5.543 3.112 3.141
curlier 5.795 3.776 3.379
curliness 5.517 3.825 3.328
curling 5.688 4.073 3.306
curls 5.643 4.011 3.301
curly 5.498 4.099 3.402
curmudgeon 5.565 3.968 3.15
currant 5.84 3.935 3.634
currants 5.963 3.758 3.729
currencies 5.699 4.18 3.06
currency 5.641 4.207 3.052
current 5.526 4.015 2.929
currently 5.534 4.027 3.014
currents 5.648 3.986 3.07
curricula 5.719 3.997 2.878
curricular 5.955 4.033 2.877
